Bairro,Numero de Homicidios ,pop,taxa
AEROLANDIA,17,11360,149.65
AEROPORTO,2,8618,23.21
ALDEOTA,8,42361,18.89
ALTO DA BALANCA,10,12814,78.04
ALVARO WEYNE,21,23690,88.64
AMADEU FURTADO,0,11703,0.00
ANCURI,18,20070,89.69
ANTONIO BEZERRA,16,25846,61.91
AUTRAN NUNES,18,21208,84.87
BARRA DO CEARA,70,72423,96.65
BARROSO,45,29847,150.77
BELA VISTA,17,16754,101.47
BENFICA,2,12954,15.44
BOA VISTA,1,12247,8.17
BOM FUTURO,0,6405,0.00
BOM JARDIM,53,37758,140.37
BONSUCESSO,25,41198,60.68
CAIS DO PORTO,19,22382,84.89
CAJAZEIRAS,11,14478,75.98
CAMBEBA,4,7625,52.46
CANINDEZINHO,29,41202,70.38
CARLITO PAMPLONA,17,29076,58.47
CASTELAO,7,,0.00
CENTRO,30,28538,105.12
CIDADE 2000,5,8272,60.44
CIDADE DOS FUNCIONARIOS,9,18256,49.3
COACU,0,7188,0.00
COCO,1,20492,4.88
CONJUNTO CEARA I,7,19221,36.42
CONJUNTO CEARA II,6,23673,25.35
CONJUNTO ESPERANCA,15,16405,91.44
CONJUNTO PALMEIRAS,46,36599,125.69
COUTO FERNANDES,4,5260,76.05
CRISTO REDENTOR,17,26717,63.63
CURIO,11,7636,144.05
DAMAS,2,10719,18.66
DE LOURDES,0,3370,0.00
DEMOCRITO ROCHA,5,10994,45.48
DENDE,5,5637,88.7
DIAS MACEDO,10,12111,82.57
DIONISIO TORRES,3,15634,19.19
DOM LUSTOSA,4,13147,30.43
EDSON QUEIROZ,24,22210,108.06
ENG LUCIANO CAVALCANTE,0,1,0.00
FARIAS BRITO,1,12063,8.29
FATIMA,7,23309,30.03
FLORESTA,10,28896,34.61
GENIBAU,37,40336,91.73
GENTILANDIA,1,,0.00
GRANJA LISBOA,32,52042,61.49
GRANJA PORTUGAL,26,39651,65.57
GUAJERU,0,6668,0.00
HENRIQUE JORGE,6,26994,22.23
ITAOCA,10,12477,80.15
ITAPERI,8,22563,35.46
JACARECANGA,11,14204,77.44
JANGURUSSU,57,50479,112.92
JARDIM AMERICA,8,12264,65.23
JARDIM CEARENSE,1,10103,9.9
JARDIM DAS OLIVEIRAS,31,29571,104.83
JARDIM GUANABARA,6,14919,40.22
JARDIM IRACEMA,29,23184,125.09
JOAO XXIII,10,18398,54.35
JOAQUIM TAVORA,4,23450,17.06
JOQUEI CLUBE,7,19331,36.21
JOSE BONIFACIO,3,8848,33.91
JOSE DE ALENCAR,20,16003,124.98
LAGOA REDONDA,13,27949,46.51
MANOEL SATIRO,9,37952,23.71
MANUEL DIAS BRANCO,3,1447,207.33
MARAPONGA,12,10155,118.17
MEIRELES,2,36982,5.41
MESSEJANA,46,41689,110.34
MONDUBIM,47,76044,61.81
MONTE CASTELO,12,13215,90.81
MONTESE,4,25970,15.4
MOURA BRASIL,6,25970,23.1
MUCURIPE,10,13747,72.74
PADRE ANDRADE,6,12936,46.38
PANAMERICANO,7,8815,79.41
PAPICU,11,18370,59.88
PARANGABA,11,30947,35.54
PARQUE ARAXA,0,6715,0.00
PARQUE DOIS IRMAOS,14,27236,51.4
PARQUE IRACEMA,2,8409,23.78
PARQUE MANIBURA,0,7529,0.00
PARQUE PRESIDENTE VARGAS,9,7192,125.14
PARQUE SANTA ROSA,8,12790,62.55
PARQUE SAO JOSE,17,10486,162.12
PARQUELANDIA,6,14432,41.57
PARREAO,0,11072,0.00
PASSARE,35,50940,68.71
PATRIOLINO RIBEIRO,0,1,0.00
PAUPINA,12,14665,81.83
PEDRAS,1,1342,74.52
PICI,23,42494,54.13
PIRAMBU,38,17775,213.78
PLANALTO AYRTON SENNA,30,39446,76.05
PRAIA DE IRACEMA,11,3130,351.44
PRAIA DO FUTURO I,12,6630,181.00
PRAIA DO FUTURO II,12,11957,100.36
PREFEITO JOSE VALTER,25,33427,74.79
PRESIDENTE KENNEDY,2,23004,8.69
QUINTINO CUNHA,36,47277,76.15
RODOLFO TEOFILO,4,19114,20.93
SABIAGUABA,9,2117,425.13
SALINAS,0,4298,0.00
SAO BENTO,0,11964,0.00
SAO GERARDO,3,14505,20.68
SAO JOAO DO TAUAPE,24,27598,86.96
SAPIRANGA COITE,13,32158,40.43
SERRINHA,21,28770,72.99
SIQUEIRA,30,33628,89.21
VARJOTA,2,8421,23.75
VICENTE PINZON,34,45518,74.7
VILA ELLERY,6,7863,76.31
VILA PERY,6,20645,29.06
VILA UNIAO,10,15378,65.03
VILA VELHA,31,61617,50.31
